data_name,Zeng,vConv-based network
SydhHelas3Znf143IggrabUniPk,0.8801,0.9011
SydhK562Kap1UcdUniPk,0.8479,0.855
SydhGm12878Usf2IggmusUniPk,0.9354,0.9388
SydhHepg2Nrf1IggrabUniPk,0.9786,0.9808
SydhK562Smc3ab9263IggrabUniPk,0.9776,0.981
UwRptecCtcfUniPk,0.9753,0.9789
HaibH1hescPou5f1sc9081V0416102UniPk,0.9369,0.941
SydhHepg2MaxIggrabUniPk,0.8591,0.8723
HaibGm12878Pu1Pcr1xUniPk,0.9829,0.9851
SydhK562Gtf2bUniPk,0.7612,0.7825
UwNhdfneoCtcfUniPk,0.9771,0.9795
HaibEcc1EraaV0416102Bpa1hUniPk,0.8432,0.8514
SydhHek293tZnf263UcdUniPk,0.8768,0.8815
SydhK562CtcfbIggrabUniPk,0.9776,0.9825
SydhHct116Tcf7l2UcdUniPk,0.8731,0.8817
SydhK562Atf106325UniPk,0.9051,0.9072
SydhHepg2CebpbForsklnUniPk,0.9591,0.963
UwHek293CtcfUniPk,0.9848,0.9864
HaibHct116Yy1sc281V0416101UniPk,0.9011,0.9027
HaibK562Bcl3Pcr1xUniPk,0.7163,0.7848
HaibGm12878Nficsc81335V0422111UniPk,0.8831,0.8913
UtaHepg2CmycUniPk,0.8562,0.8641
SydhHepg2CjunIggrabUniPk,0.972,0.9735
HaibA549Sin3ak20V0422111Etoh02UniPk,0.7296,0.773
SydhGm18951NfkbTnfaIggrabUniPk,0.8507,0.8576
SydhHepg2Chd2ab68301IggrabUniPk,0.8405,0.8539
HaibGm12878Pol2Pcr2xUniPk,0.7865,0.8016
HaibGm12878Elf1sc631V0416101UniPk,0.8814,0.8913
HaibK562Six5Pcr1xUniPk,0.8723,0.8777
SydhK562Rpc155UniPk,0.9406,0.9524
SydhHelas3MaxIggrabUniPk,0.87,0.8755
SydhK562NfybUniPk,0.9818,0.9841
UtaHelas3CmycUniPk,0.8516,0.8717
SydhGm12878Yy1UniPk,0.8476,0.8725
SydhMcf10aesPol2Etoh01UniPk,0.7969,0.804
UwHpafCtcfUniPk,0.978,0.9832
HaibH1hescPol24h8V0416102UniPk,0.7828,0.7986
UtaNhekCtcfUniPk,0.9685,0.9736
BroadHsmmEzh239875UniPk,0.6981,0.7356
SydhPbdefetalGata1UcdUniPk,0.9248,0.9325
SydhK562Pol2Ifna6hUniPk,0.7881,0.8036
SydhK562CmycUniPk,0.8351,0.8509
UtaHuvecCmycUniPk,0.8827,0.8967
SydhHelas3MafkIggrabUniPk,0.9385,0.9456
SydhH1hescZnf143IggrabUniPk,0.9402,0.9437
HaibK562Pol2V0416101UniPk,0.7921,0.8014
BroadK562P300UniPk,0.7594,0.7563
HaibT47dP300V0416102Dm002p1hUniPk,0.8583,0.8731
HaibHepg2Sp1Pcr1xUniPk,0.8911,0.901
HaibGm12878Yy1sc281Pcr1xUniPk,0.912,0.919
HaibK562Usf1V0416101UniPk,0.9589,0.9637
HaibA549Ets1V0422111Etoh02UniPk,0.7661,0.8074
SydhGm12878NfkbTnfaIggrabUniPk,0.893,0.8961
SydhHepg2JundIggrabUniPk,0.9788,0.98
SydhK562Tblr1nb600270IggrabUniPk,0.8794,0.8868
HaibHepg2RxraPcr1xUniPk,0.8973,0.9061
SydhK562JundIggrabUniPk,0.934,0.9447
SydhHelas3Spt20UniPk,0.6663,0.685
UtaK562CtcfUniPk,0.9842,0.9875
SydhHelas3Tcf7l2UcdUniPk,0.8185,0.8305
HaibA549GrPcr1xDex50nmUniPk,0.9114,0.924
BroadNhlfCtcfUniPk,0.9736,0.9772
SydhK562Pol2Ifng6hUniPk,0.794,0.8074
HaibK562Bclaf101388Pcr1xUniPk,0.7232,0.7414
UtaK562CmycUniPk,0.8652,0.877
UtaMcf7CtcfVehUniPk,0.9747,0.9794
SydhMcf10aesE2f4TamHvdUniPk,0.9173,0.9225
HaibGm12878Sp1Pcr1xUniPk,0.879,0.8851
HaibGm12878Pax5n19Pcr1xUniPk,0.8853,0.891
BroadNhaEzh239875UniPk,0.7685,0.7817
HaibK562Zbtb33Pcr1xUniPk,0.839,0.8724
SydhGm12878Mazab85725IggmusUniPk,0.842,0.849
SydhGm12878E2f4IggmusUniPk,0.8065,0.8251
UtaGm12892CtcfUniPk,0.948,0.9546
SydhH1hescCmycIggrabUniPk,0.8522,0.8634
SydhMcf10aesStat3Etoh01UniPk,0.9411,0.944
SydhHuvecPol2UniPk,0.7844,0.7959
HaibH1hescTaf1V0416102UniPk,0.8179,0.8241
UwGm12872CtcfUniPk,0.9773,0.9798
HaibK562E2f6V0416102UniPk,0.8691,0.8811
SydhK562CmycIfna30UniPk,0.8059,0.831
SydhK562CmycIfng6hUniPk,0.8512,0.8624
HaibA549Foxa1V0416102Dex100nmUniPk,0.9018,0.9178
SydhHelas3E2f6UniPk,0.7864,0.8015
HaibH1hescPol2V0416102UniPk,0.7906,0.7911
BroadNhekPol2bUniPk,0.7176,0.7335
SydhHuvecCjunUniPk,0.9699,0.97
UtaA549Pol2UniPk,0.8312,0.8323
UwGm12875CtcfUniPk,0.9843,0.9865
SydhH1hescNrf1IggrabUniPk,0.9357,0.9492
SydhK562Stat2Ifna6hUniPk,0.8951,0.8929
SydhMcf10aesStat3Etoh01cUniPk,0.9494,0.957
BroadHsmmtCtcfUniPk,0.9705,0.9751
BroadNhekCtcfUniPk,0.9697,0.9741
SydhGm12878Elk112771IggmusUniPk,0.8618,0.8735
UwNhlfCtcfUniPk,0.9712,0.9738
SydhHelas3Zzz3UniPk,0.8865,0.887
HaibGm12891Pol2Pcr1xUniPk,0.7691,0.7829
SydhHelas3Mazab85725IggrabUniPk,0.8588,0.8621
UtaMcf7CmycEstroUniPk,0.8234,0.8296
UtaGm12878Pol2UniPk,0.7962,0.805
HaibA549GabpV0422111Etoh02UniPk,0.8785,0.8841
HaibHepg2Usf1Pcr1xUniPk,0.9704,0.9738
SydhH1hescJundIggrabUniPk,0.9227,0.9298
UwHacCtcfUniPk,0.9727,0.9762
BroadH1hescChd1a301218aUniPk,0.7382,0.752
HaibK562Hdac2sc6296V0416102UniPk,0.8531,0.8572
HaibK562Ctcflsc98982V0416101UniPk,0.9657,0.9743
SydhK562Tr4UcdUniPk,0.7444,0.8005
HaibA549Atf3V0422111Etoh02UniPk,0.8345,0.8309
HaibHepg2Foxa1sc101058V0416101UniPk,0.9531,0.955
SydhHuvecCfosUcdUniPk,0.953,0.9581
SydhHelas3Bdp1UniPk,0.7344,0.7957
BroadHuvecCtcfUniPk,0.978,0.9807
SydhGm12878JundUniPk,0.9519,0.9601
BroadNhlfEzh239875UniPk,0.7649,0.7746
BroadNhdfadEzh239875UniPk,0.7706,0.7941
SydhK562Sirt6UniPk,0.841,0.8594
HaibGm12892Pol24h8V0416102UniPk,0.7652,0.7781
SydhHelas3E2f4UniPk,0.8434,0.8507
SydhHelas3Pol2s2IggrabUniPk,0.7894,0.7985
UwAg09309CtcfUniPk,0.9793,0.9824
HaibHepg2Sin3ak20Pcr1xUniPk,0.8075,0.8244
HaibGm12878Ebf1sc137065Pcr1xUniPk,0.9097,0.9144
SydhK562Rad21UniPk,0.9925,0.9929
SydhGm18526NfkbTnfaIggrabUniPk,0.8554,0.883
SydhK562Stat1Ifna30UniPk,0.8216,0.8286
HaibHepg2Zbtb33Pcr1xUniPk,0.8532,0.874
SydhK562NfyaUniPk,0.9479,0.954
BroadHelas3CtcfUniPk,0.9557,0.9637
SydhMcf10aesCmycTam14hHvdUniPk,0.9098,0.9181
SydhHepg2Arid3anb100279IggrabUniPk,0.8785,0.8843
SydhA549Bhlhe40IggrabUniPk,0.9155,0.9203
SydhHelas3Rad21IggrabUniPk,0.9591,0.9659
HaibH1hescAtf2sc81188V0422111UniPk,0.8006,0.8175
HaibA549Six5V0422111Etoh02UniPk,0.8074,0.8286
SydhNt2d1Znf274UcdUniPk,0.9371,0.9522
BroadHuvecEzh239875UniPk,0.7805,0.7913
UtaGm12878CmycUniPk,0.7548,0.7837
HaibA549Ctcfsc5916Pcr1xDex100nmUniPk,0.9875,0.9901
SydhHepg2Pol2s2IggrabUniPk,0.7158,0.7295
HaibHepg2SrfV0416101UniPk,0.9158,0.9148
SydhA549Pol2s2IggrabUniPk,0.6519,0.7002
HaibK562Tead4sc101184V0422111UniPk,0.91,0.9097
SydhH1hescRfx5200401194IggrabUniPk,0.8649,0.8839
SydhHelas3Zkscan1hpa006672IggrabUniPk,0.8129,0.8331
HaibK562Yy1V0416101UniPk,0.8933,0.9053
SydhMcf10aesCfosTamHvdUniPk,0.9697,0.9752
UchicagoK562EjundUniPk,0.9096,0.9156
SydhK562Irf1Ifna30UniPk,0.8353,0.8329
HaibGm12878Bclaf101388V0416101UniPk,0.7925,0.8137
HaibHepg2Mbd4sc271530V0422111UniPk,0.7727,0.7986
SydhK562E2f6UcdUniPk,0.8357,0.8443
UtaMcf7CmycSerumstimUniPk,0.8431,0.8499
HaibK562Egr1V0416101UniPk,0.9514,0.9533
SydhHelas3Irf3IggrabUniPk,0.9299,0.9386
SydhH1hescCjunIggrabUniPk,0.9122,0.921
SydhHelas3CmycUniPk,0.8525,0.8713
SydhHelas3TbpIggrabUniPk,0.8253,0.8294
SydhHepg2Rad21IggrabUniPk,0.9714,0.9752
HaibGm12878Mta3sc81325V0422111UniPk,0.8233,0.8312
SydhGm12878TbpIggmusUniPk,0.7844,0.7951
HaibK562Pol24h8V0416101UniPk,0.8317,0.8391
SydhHelas3Tf3c110UniPk,0.9156,0.9301
UwHpfCtcfUniPk,0.9765,0.9829
UwHffCtcfUniPk,0.9851,0.9861
HaibGm12878Foxm1sc502V0422111UniPk,0.8776,0.8836
HaibT47dCtcfsc5916V0416102Dm002p1hUniPk,0.9809,0.9813
SydhMcf10aesPol2TamUniPk,0.8068,0.8147
SydhPbdePol2UcdUniPk,0.7778,0.7874
SydhNb4MaxUniPk,0.8978,0.9064
SydhH1hescChd1a301218aIggrabUniPk,0.6903,0.7274
SydhHelas3Rpc155UniPk,0.9554,0.9672
UwBjCtcfUniPk,0.978,0.981
HaibGm12878Six5Pcr1xUniPk,0.8787,0.8818
HaibSknshraRad21V0416102UniPk,0.9543,0.9595
UwAoafCtcfUniPk,0.98,0.9832
SydhHelas3Ini1IggmusUniPk,0.7716,0.7924
UwHct116CtcfUniPk,0.9801,0.9836
SydhK562Setdb1UcdUniPk,0.7917,0.8035
HaibHuvecPol24h8V0416101UniPk,0.8604,0.8683
HaibA549Bcl3V0422111Etoh02UniPk,0.7842,0.8146
HaibT47dGata3sc268V0416102Dm002p1hUniPk,0.9045,0.9052
HaibGm12878SrfPcr2xUniPk,0.8872,0.8977
SydhMcf7Gata3sc269UcdUniPk,0.8351,0.8499
SydhGm12878Znf274UniPk,0.9967,0.9972
SydhH1hescTbpIggrabUniPk,0.8118,0.8238
SydhK562CmycIggrabUniPk,0.8757,0.8824
SydhK562Pol3UniPk,0.9113,0.9071
SydhK562Stat1Ifng30UniPk,0.9259,0.932
UtaHuvecCtcfUniPk,0.9889,0.9909
SydhGm12892NfkbTnfaIggrabUniPk,0.8666,0.884
SydhHelas3Brg1IggmusUniPk,0.6893,0.6993
SydhHelas3Brca1a300IggrabUniPk,0.8589,0.8562
SydhK562Pol2IggmusUniPk,0.7553,0.7727
SydhH1hescBach1sc14700IggrabUniPk,0.8915,0.908
HaibGm12891Pol24h8Pcr1xUniPk,0.7673,0.7876
SydhHepg2Usf2IggrabUniPk,0.9691,0.9742
SydhH1hescMaxUcdUniPk,0.9005,0.9107
HaibH1hescSp4v20V0422111UniPk,0.7755,0.7977
HaibSknshNrsfV0416101UniPk,0.8998,0.9091
UtaGm12878CtcfUniPk,0.9852,0.9872
HaibGm12878Pbx3Pcr1xUniPk,0.8839,0.8956
HaibK562Elf1sc631V0416102UniPk,0.9427,0.9467
HaibGm12878Ets1Pcr1xUniPk,0.8555,0.859
HaibK562Zbtb7asc34508V0416101UniPk,0.8582,0.8643
SydhHelas3Tr4UniPk,0.8712,0.8758
UwWi38CtcfUniPk,0.9725,0.9748
HaibHepg2Tead4sc101184V0422111UniPk,0.8856,0.8968
HaibHepg2Hdac2sc6296V0416101UniPk,0.8616,0.879
SydhGm12878Zzz3UniPk,0.9131,0.9304
SydhGm12878NfybIggmusUniPk,0.9264,0.9339
HaibA549Usf1Pcr1xEtoh02UniPk,0.9337,0.9416
HaibK562Rad21V0416102UniPk,0.9816,0.9843
SydhHelas3Baf155IggmusUniPk,0.775,0.7784
BroadDnd41CtcfUniPk,0.9761,0.9801
HaibGm12891Pax5c20V0416101UniPk,0.8924,0.9061
SydhHepg2Rfx5200401194IggrabUniPk,0.8863,0.8953
SydhU2osSetdb1UcdUniPk,0.8385,0.8491
HaibK562Ets1V0416101UniPk,0.8094,0.8321
