data_name,Zeng,vConv-based network
SydhGm12878Tblr1ab24550IggmusUniPk,0.816,0.8278
BroadK562Sap3039731UniPk,0.7715,0.7813
HaibSknshPol24h8V0416101UniPk,0.8326,0.8436
SydhGm12878Pol2IggmusUniPk,0.7769,0.7842
SydhK562Bdp1UniPk,0.6853,0.7708
HaibGm12878Zbtb33Pcr1xUniPk,0.8397,0.8514
HaibHepg2P300V0416101UniPk,0.9087,0.9146
UwAg04450CtcfUniPk,0.9773,0.9823
HaibT47dEralphaaPcr2xGen1hUniPk,0.8929,0.8961
SydhMcf10aesStat3Etoh01bUniPk,0.9522,0.9574
UtaGm19240CtcfUniPk,0.9611,0.9672
HaibK562MaxV0416102UniPk,0.8898,0.8961
HaibH1hescHdac2sc6296V0416102UniPk,0.7983,0.8319
SydhK562Bhlhe40nb100IggrabUniPk,0.9053,0.9128
HaibHepg2Elf1sc631V0416101UniPk,0.9254,0.9374
SydhK562Znf274UcdUniPk,0.9471,0.9357
SydhA549CebpbIggrabUniPk,0.9792,0.9806
BroadK562Hdac1sc6298UniPk,0.7582,0.7736
SydhHepg2Irf3IggrabUniPk,0.8712,0.8835
SydhH1hescUsf2IggrabUniPk,0.9535,0.9558
BroadNhekEzh239875UniPk,0.7639,0.7807
UwNhekCtcfUniPk,0.98,0.9828
SydhHuvecGata2UcdUniPk,0.8948,0.8997
SydhHepg2CebpbIggrabUniPk,0.9828,0.985
HaibSknmcFoxp2Pcr2xUniPk,0.8477,0.8656
SydhMcf7Tcf7l2UcdUniPk,0.842,0.8565
HaibHct116Zbtb33V0416101UniPk,0.7901,0.8182
UwGm12864CtcfUniPk,0.9766,0.9812
UwHvmfCtcfUniPk,0.9777,0.9813
SydhHek293Pol2UniPk,0.7975,0.8248
SydhK562TbpIggmusUniPk,0.8203,0.8197
HaibHepg2Pol2Pcr2xUniPk,0.7905,0.8023
BroadHepg2CtcfUniPk,0.9797,0.9835
SydhA549MaxIggrabUniPk,0.8475,0.8636
HaibH1hescRxraV0416102UniPk,0.7374,0.797
SydhGm19099NfkbTnfaIggrabUniPk,0.9121,0.918
SydhK562P300IggrabUniPk,0.907,0.9124
SydhH1hescSin3anb6001263IggrabUniPk,0.8272,0.8422
UtaH1hescPol2UniPk,0.8008,0.8139
HaibHepg2Zbtb7aV0416101UniPk,0.8438,0.8655
UtaMcf7Pol2SerumstimUniPk,0.8185,0.8304
HaibGm12892Yy1V0416101UniPk,0.9134,0.9218
HaibHepg2Hnf4asc8987V0416101UniPk,0.9513,0.9553
HaibHepg2Nficsc81335V0422111UniPk,0.8446,0.8505
UtaHelas3CtcfUniPk,0.9836,0.9883
HaibH1hescNanogsc33759V0416102UniPk,0.8879,0.9052
SydhHepg2P300sc582IggrabUniPk,0.8153,0.8488
UtaFibroblCtcfUniPk,0.9663,0.9705
SydhK562MaxIggrabUniPk,0.8914,0.8938
SydhPanc1Tcf7l2UcdUniPk,0.8078,0.815
HaibK562Thap1sc98174V0416101UniPk,0.7757,0.8052
HaibHepg2Cebpdsc636V0416101UniPk,0.8738,0.8818
HaibK562Pu1Pcr1xUniPk,0.9854,0.987
SydhK562Stat1Ifng6hUniPk,0.8628,0.8779
UtaGlioblaPol2UniPk,0.8151,0.8254
BroadK562Ezh239875UniPk,0.6677,0.6963
UtaHuvecPol2UniPk,0.8246,0.8386
BroadGm12878CtcfUniPk,0.9675,0.9719
SydhHelas3Brf2UniPk,0.5719,0.6011
HaibK562Gata2sc267Pcr1xUniPk,0.941,0.9483
SydhHelas3CfosUniPk,0.9538,0.9563
