,data_set,1layer_local_win9,2layer_local_win3,1layer_64motif,2layer,1layer_local_win3,1layer,3layer,1layer_128motif,1layer_1motif
10,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,0.9341647508257276,0.9338523154853592,0.9338523154853592,0.9352366829896316,0.9241738798078029,0.9337606041795986,0.9321242844334091,0.9513976155443671,0.691344623383988
11,wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk,0.7493918549562683,0.6952039297862002,0.6952039297862002,0.7581017674927114,0.6821815779883381,0.7724459426627794,0.7419566933916423,0.8129107446550048,0.6404002672497572
12,wgEncodeAwgTfbsUwGm12865CtcfUniPk,0.9708090553922625,0.9792487253504633,0.9792487253504633,0.9792823849639336,0.9707702730697615,0.973852648075149,0.9794226652280279,0.9809087426269701,0.6348378023960755
13,wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk,0.9171730843438659,0.9207076354335562,0.9207076354335562,0.9197564423832465,0.9076622591651656,0.9163158438672795,0.9199116022954394,0.9453622338409556,0.7592704017706806
14,wgEncodeAwgTfbsBroadDnd41CtcfUniPk,0.9704953318751607,0.9732844920960546,0.9732844920960546,0.9716020622270573,0.9622109282540792,0.9659858870599827,0.9741592072114321,0.9760996890855294,0.8811250845968734
15,wgEncodeAwgTfbsHaibHepg2Ctcfsc5916V0416101UniPk,0.9800410976206307,0.9849753104578167,0.9849753104578167,0.984383205598571,0.9783461969288393,0.9794598326188068,0.9858672910742442,0.9858441297135319,0.9030477574740541
16,wgEncodeAwgTfbsSydhHelas3Ap2gammaUniPk,0.8550266295679231,0.8499429626009936,0.8499429626009936,0.8670882405765372,0.8494077903277932,0.86817057085832,0.8454245445481811,0.8877231643876891,0.7811671590687178
17,wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk,0.848027034705831,0.8935959218463153,0.8935959218463153,0.8817584032695166,0.8694990820875951,0.8883916863362182,0.887648341201154,0.9052943876212955,0.7781086087070547
18,wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,0.9564749950565912,0.9479640410014829,0.9479640410014829,0.9399540604973753,0.9373094922155301,0.9534427267221407,0.9414463067035941,0.9601972679219816,0.9084250610308904
19,wgEncodeAwgTfbsSydhHepg2ErraForsklnUniPk,0.6538574174064244,0.6689301729660474,0.6689301729660474,0.7314084378145878,0.5230529880113479,0.7740093346755742,0.7053720142765626,0.8509563466642263,0.6156310057655349
20,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,0.8488422848709021,0.8382647453149075,0.8382647453149075,0.8440922449937174,0.8178538777602704,0.8398884050624651,0.8341010485638052,0.8691194674341056,0.6844906524244307
21,wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk,0.8775441068531016,0.8766563850914296,0.8766563850914296,0.8786411014255099,0.8509621639667814,0.8845749982202606,0.8721284824591335,0.9021560622835161,0.7967764622707512
22,wgEncodeAwgTfbsUtaH1hescPol2UniPk,0.7633761484032324,0.7422976862267021,0.7422976862267021,0.74847377053301,0.7415225533198435,0.7704394566843038,0.7427784131612353,0.8007946133447283,0.62694230962585
23,wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk,0.8365919158597017,0.822456888468358,0.822456888468358,0.837346847154028,0.8202936755546463,0.8769577423167848,0.827034070115021,0.8871941560397345,0.7103605129909983
24,wgEncodeAwgTfbsSydhK562Kap1UcdUniPk,0.697673311325546,0.6710629338073473,0.6710629338073473,0.7254929709102195,0.6757700080413069,0.7865654625867614,0.7259889396760904,0.8478883633824277,0.6047137753230629
25,wgEncodeAwgTfbsSydhPbdefetalGata1UcdUniPk,0.8874667367338268,0.8545556698495047,0.8545556698495047,0.8901138218654263,0.80049307900445,0.9022059974507478,0.8600594825465686,0.9248306089134373,0.835483798832711
26,wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk,0.9742047897750794,0.9790787828146106,0.9790787828146106,0.975107574743006,0.9721491674197895,0.9725521250380031,0.9751707468846205,0.9791595061456045,0.95406690714571
27,wgEncodeAwgTfbsSydhHelas3Gtf2f1ab28179IggrabUniPk,0.7097322741679812,0.7218911535499746,0.7218911535499746,0.728369936280649,0.6972328179461289,0.7645558916168109,0.7119670115555718,0.7931484144192411,0.6210720137802922
