Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control
Gliobla,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGlioblaCtcfUniPk,NA
GM06990,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm06990CtcfUniPk,std
GM12801,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12801CtcfUniPk,std
GM12864,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12864CtcfUniPk,std
GM12865,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12865CtcfUniPk,std
GM12872,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12872CtcfUniPk,std
GM12873,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12873CtcfUniPk,std
GM12874,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12874CtcfUniPk,std
GM12875,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12875CtcfUniPk,std
GM12878,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12878CtcfUniPk,std
GM12878,CTCF,Stanford,None,CTCF+AF8-(SC+AC0-15914),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk,std
GM12878,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadGm12878CtcfUniPk,std
GM12878,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm12878CtcfUniPk,NA
GM12891,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm12891CtcfUniPk,NA
GM12892,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm12892CtcfUniPk,NA
GM19238,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm19238CtcfUniPk,NA
GM19239,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm19239CtcfUniPk,NA
GM19240,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaGm19240CtcfUniPk,NA
H1+AC0-hESC,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadH1hescCtcfUniPk,std
H1+AC0-hESC,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaH1hescCtcfUniPk,NA
H1+AC0-hESC,CTCF,HudsonAlpha,None,CTCF+AF8-(SC+AC0-5916),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk,NA
HA+AC0-sp,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHaspCtcfUniPk,std
