TF_CellLine_Antibody_Lab,DeepBind*,DeepBind,MEME-SUM,MEME-M1
CTCF_HMEC_CTCF_Broad,0.99568,0.99707,0.95810,0.97066
CTCF_HMEC_CTCF_UW,0.99586,0.99324,0.96455,0.96558
CTCF_HMF_CTCF_UW,0.99872,0.99510,0.93585,0.98588
CTCF_HPAF_CTCF_UW,0.99871,0.99586,0.97710,0.97299
CTCF_HPF_CTCF_UW,0.99664,0.99751,0.93018,0.96648
CTCF_HRE_CTCF_UW,0.99721,0.99223,0.93251,0.97744
CTCF_HRPEpiC_CTCF_UW,0.99683,0.99497,0.95252,0.97282
CTCF_HSMM_CTCF_Broad,0.99721,0.99399,0.96572,0.97731
CTCF_HSMMtube_CTCF_Broad,0.99701,0.98831,0.94046,0.97608
CTCF_HUVEC_CTCF_Broad,0.99040,0.98753,0.93133,0.97761
CTCF_HUVEC_CTCF_UT-A,0.99857,0.99870,0.91174,0.97581
CTCF_HUVEC_CTCF_UW,0.99864,0.98885,0.94304,0.97732
CTCF_HVMF_CTCF_UW,0.99772,0.99618,0.95795,0.95396
CTCF_HeLa-S3_CTCF_Broad,0.99323,0.99024,0.95131,0.96830
CTCF_HeLa-S3_CTCF_UT-A,0.99751,0.99286,0.94488,0.97579
CTCF_HeLa-S3_CTCF_UW,0.99816,0.99323,0.87672,0.95575
CTCF_HepG2_CTCF_(SC-5916)_HudsonAlpha,0.99587,0.99099,0.98699,0.98961
CTCF_HepG2_CTCF_Broad,0.99402,0.98987,0.91911,0.93383
CTCF_HepG2_CTCF_UT-A,0.99959,0.99669,0.94829,0.94310
CTCF_HepG2_CTCF_UW,0.99554,0.99260,0.97265,0.97243
CTCF_IMR90_CTCF_(SC-15914)_Stanford,0.99329,0.99211,0.97308,0.97274
CTCF_K562_CTCF_(SC-15914)_Stanford,0.99291,0.98848,0.91957,0.95734
CTCF_K562_CTCF_(SC-5916)_HudsonAlpha,0.99154,0.98399,0.94344,0.94702
CTCF_K562_CTCF_Broad,0.98939,0.98092,0.95044,0.96767
CTCF_K562_CTCF_UT-A,0.99601,0.99338,0.94301,0.95424
CTCF_K562_CTCF_UW,0.99642,0.98445,0.95760,0.95886
CTCF_MCF-7_CTCF_UT-A,0.99303,0.98641,0.96976,0.97260
CTCF_MCF-7_CTCF_UW,0.99758,0.99094,0.96644,0.97755
CTCF_NB4_CTCF_UW,0.99861,0.99592,0.94853,0.97861
CTCF_NH-A_CTCF_Broad,0.99779,0.99437,0.96059,0.97374
CTCF_NHDF-Ad_CTCF_Broad,0.99610,0.99375,0.89195,0.98163
CTCF_NHDF-neo_CTCF_UW,0.99828,0.99641,0.96063,0.96400
CTCF_NHEK_CTCF_Broad,0.99479,0.99348,0.96900,0.97641
CTCF_NHEK_CTCF_UT-A,0.99534,0.99311,0.95582,0.96016
CTCF_NHEK_CTCF_UW,0.99694,0.99369,0.95376,0.96474
CTCF_NHLF_CTCF_Broad,0.99544,0.99387,0.90958,0.96949
CTCF_NHLF_CTCF_UW,0.99761,0.99162,0.93954,0.97438
CTCF_Osteoblasts_CTCF_Broad,0.99720,0.99185,0.96790,0.96818
CTCF_ProgFib_CTCF_UT-A,0.99630,0.99292,0.97700,0.98134
CTCF_RPTEC_CTCF_UW,0.99690,0.99536,0.96176,0.96679
CTCF_SAEC_CTCF_UW,0.99347,0.98680,0.96285,0.96610
CTCF_SK-N-SH-(Retinoic-Acid)_CTCF_HudsonAlpha,0.99766,0.99480,0.91758,0.96461
CTCF_SK-N-SH-(Retinoic-Acid)_CTCF_UW,0.99357,0.99233,0.97645,0.97645
CTCF_WERI-Rb-1_CTCF_UW,0.99557,0.99015,0.94518,0.97461
CTCF_WI-38_CTCF_UW,0.99772,0.99500,0.91215,0.92847
E2F1_HeLa-S3_E2F1_USC,0.84988,0.76858,0.58507,0.62382
E2F1_HeLa-S3_HA-E2F1_USC,0.84901,0.65633,0.62930,0.61672
E2F1_MCF-7_HA-E2F1_USC,0.85337,0.73108,0.66790,0.64976
E2F4_GM12878_E2F4_Stanford,0.91344,0.90304,0.88645,0.74214
E2F4_HeLa-S3_E2F4_USC,0.87848,0.85978,0.86826,0.78948
E2F4_K562_E2F4_USC,0.87448,0.82318,0.86938,0.77157
E2F6_HeLa-S3_E2F6_USC,0.83969,0.81450,0.81278,0.73918
E2F6_K562_E2F6_HudsonAlpha,0.90572,0.88621,0.87643,0.77566
E2F6_K562_E2F6_USC,0.91401,0.75593,0.86846,0.75066
EBF1_GM12878_EBF1_(SC-137065)_HudsonAlpha,0.97701,0.90079,0.85207,0.87572
EBF1_GM12878_EBF1_(SC-137065)_Stanford,0.97793,0.95709,0.86273,0.94492
EGR1_GM12878_Egr-1_HudsonAlpha,0.94433,0.93066,0.89475,0.90565
EGR1_H1-hESC_Egr-1_HudsonAlpha,0.91874,0.85673,0.83926,0.80663
EGR1_K562_Egr-1_HudsonAlpha,0.98276,0.96990,0.91835,0.93513
ELF1_GM12878_ELF1_(SC-631)_HudsonAlpha,0.98021,0.97032,0.96055,0.96309
ELF1_HepG2_ELF1_(SC-631)_HudsonAlpha,0.98286,0.97320,0.96571,0.97276
ELF1_K562_ELF1_(SC-631)_HudsonAlpha,0.98800,0.98189,0.97579,0.98037
ELK1_GM12878_ELK1_(1277-1)_Stanford,0.95285,0.94789,0.94134,0.93170
ELK1_HeLa-S3_ELK1_(1277-1)_Stanford,0.96163,0.94907,0.94099,0.94620
ELK4_HeLa-S3_ELK4_USC,0.93594,0.91305,0.91099,0.91363
