TF.CellLine.Antibody.Lab.renamed,Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control,TF.CellLine.Antibody.Lab,DeepBind.star,DeepBind,MEME.SUM,MEME.M1
CHD2_HepG2_CHD2_(AB68301)_Stanford,HepG2,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHepg2Chd2ab68301IggrabUniPk,IgG+AC0-rab,CHD2_HepG2_CHD2_(AB68301)_Stanford,0.959989,0.916695,0.9253,0.905252
CHD2_K562_CHD2_(AB68301)_Stanford,K562,CHD2,Stanford,None,CHD2+AF8-(AB68301),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk,IgG+AC0-rab,CHD2_K562_CHD2_(AB68301)_Stanford,0.95394,0.888255,0.876016,0.873032
CTBP2_H1_hESC_CtBP2_USC,H1+AC0-hESC,CTBP2,USC,None,CtBP2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk,UCDavis,CTBP2_H1-hESC_CtBP2_USC,0.780529,0.633621,0.612792,0.610492
CTCFL_K562_CTCFL_(SC_98982)_HudsonAlpha,K562,CTCFL,HudsonAlpha,None,CTCFL+AF8-(SC+AC0-98982),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk,NA,CTCFL_K562_CTCFL_(SC-98982)_HudsonAlpha,0.986739,0.973435,0.97272,0.980928
CTCF_A549_CTCF_UT_A,A549,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaA549CtcfUniPk,NA,CTCF_A549_CTCF_UT-A,0.998827,0.995431,0.950376,0.96428
CTCF_A549_CTCF_UW,A549,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwA549CtcfUniPk,std,CTCF_A549_CTCF_UW,0.992969,0.985816,0.9589,0.946416
CTCF_AG04449_CTCF_UW,AG04449,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg04449CtcfUniPk,std,CTCF_AG04449_CTCF_UW,0.997147,0.989877,0.922408,0.980948
CTCF_AG04450_CTCF_UW,AG04450,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg04450CtcfUniPk,std,CTCF_AG04450_CTCF_UW,0.998676,0.997641,0.9286,0.97378
CTCF_AG09309_CTCF_UW,AG09309,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg09309CtcfUniPk,std,CTCF_AG09309_CTCF_UW,0.995995,0.994825,0.930924,0.984276
CTCF_AG09319_CTCF_UW,AG09319,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg09319CtcfUniPk,std,CTCF_AG09319_CTCF_UW,0.997514,0.996073,0.976788,0.980304
CTCF_AG10803_CTCF_UW,AG10803,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAg10803CtcfUniPk,std,CTCF_AG10803_CTCF_UW,0.994328,0.997043,0.94466,0.97032
CTCF_AoAF_CTCF_UW,AoAF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwAoafCtcfUniPk,std,CTCF_AoAF_CTCF_UW,0.995988,0.993702,0.965868,0.973488
CTCF_BE(2)_C_CTCF_UW,BE(2)+AC0-C,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwBe2cCtcfUniPk,std,CTCF_BE(2)-C_CTCF_UW,0.995777,0.989196,0.966616,0.976324
CTCF_BJ_CTCF_UW,BJ,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwBjCtcfUniPk,std,CTCF_BJ_CTCF_UW,0.998861,0.995712,0.967132,0.976384
CTCF_Caco_2_CTCF_UW,Caco+AC0-2,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwCaco2CtcfUniPk,std,CTCF_Caco-2_CTCF_UW,0.996908,0.992937,0.953648,0.981704
CTCF_Dnd41_CTCF_Broad,Dnd41,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadDnd41CtcfUniPk,std,CTCF_Dnd41_CTCF_Broad,0.994794,0.992167,0.944096,0.972952
CTCF_Fibrobl_CTCF_UT_A,Fibrobl,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaFibroblCtcfUniPk,NA,CTCF_Fibrobl_CTCF_UT-A,0.994606,0.991341,0.949272,0.972476
CTCF_GM06990_CTCF_UW,GM06990,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm06990CtcfUniPk,std,CTCF_GM06990_CTCF_UW,0.99163,0.99347,0.92048,0.971892
CTCF_GM12801_CTCF_UW,GM12801,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12801CtcfUniPk,std,CTCF_GM12801_CTCF_UW,0.997061,0.99414,0.926072,0.974328
CTCF_GM12864_CTCF_UW,GM12864,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12864CtcfUniPk,std,CTCF_GM12864_CTCF_UW,0.998341,0.995215,0.95802,0.966328
CTCF_GM12865_CTCF_UW,GM12865,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12865CtcfUniPk,std,CTCF_GM12865_CTCF_UW,0.998008,0.995835,0.958144,0.973516
CTCF_GM12872_CTCF_UW,GM12872,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12872CtcfUniPk,std,CTCF_GM12872_CTCF_UW,0.998206,0.992998,0.947256,0.9773
CTCF_GM12873_CTCF_UW,GM12873,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwGm12873CtcfUniPk,std,CTCF_GM12873_CTCF_UW,0.999183,0.99672,0.940868,0.966116
