TF.CellLine.Antibody.Lab.renamed,Cell Line,Factor,Lab,Treatment,Antibody,Data Version,Quality,Table Name,Control,TF.CellLine.Antibody.Lab,DeepBind.star,DeepBind,MEME.SUM,MEME.M1
CTCF_HRPEpiC_CTCF_UW,HRPEpiC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHrpeCtcfUniPk,std,CTCF_HRPEpiC_CTCF_UW,0.996826,0.994965,0.952524,0.972824
CTCF_HSMM_CTCF_Broad,HSMM,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHsmmCtcfUniPk,std,CTCF_HSMM_CTCF_Broad,0.997206,0.993985,0.965724,0.977312
CTCF_HSMMtube_CTCF_Broad,HSMMtube,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHsmmtCtcfUniPk,std,CTCF_HSMMtube_CTCF_Broad,0.997008,0.988307,0.94046,0.976076
CTCF_HUVEC_CTCF_Broad,HUVEC,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHuvecCtcfUniPk,std,CTCF_HUVEC_CTCF_Broad,0.9904,0.987534,0.931332,0.977612
CTCF_HUVEC_CTCF_UT_A,HUVEC,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHuvecCtcfUniPk,NA,CTCF_HUVEC_CTCF_UT-A,0.998573,0.998695,0.91174,0.975812
CTCF_HUVEC_CTCF_UW,HUVEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHuvecCtcfUniPk,std,CTCF_HUVEC_CTCF_UW,0.998637,0.988854,0.943044,0.977316
CTCF_HVMF_CTCF_UW,HVMF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHvmfCtcfUniPk,std,CTCF_HVMF_CTCF_UW,0.997723,0.996175,0.957952,0.953956
CTCF_HeLa_S3_CTCF_Broad,HeLa+AC0-S3,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHelas3CtcfUniPk,std,CTCF_HeLa-S3_CTCF_Broad,0.993226,0.990236,0.951312,0.9683
CTCF_HeLa_S3_CTCF_UT_A,HeLa+AC0-S3,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHelas3CtcfUniPk,NA,CTCF_HeLa-S3_CTCF_UT-A,0.997511,0.992857,0.94488,0.975792
CTCF_HeLa_S3_CTCF_UW,HeLa+AC0-S3,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHelas3CtcfUniPk,std,CTCF_HeLa-S3_CTCF_UW,0.998156,0.993233,0.876716,0.955748
CTCF_HepG2_CTCF_(SC_5916)_HudsonAlpha,HepG2,CTCF,HudsonAlpha,None,CTCF+AF8-(SC+AC0-5916),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Ctcfsc5916V0416101UniPk,NA,CTCF_HepG2_CTCF_(SC-5916)_HudsonAlpha,0.995868,0.990988,0.986988,0.989608
CTCF_HepG2_CTCF_Broad,HepG2,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHepg2CtcfUniPk,std,CTCF_HepG2_CTCF_Broad,0.994016,0.98987,0.919108,0.933828
CTCF_HepG2_CTCF_UT_A,HepG2,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaHepg2CtcfUniPk,NA,CTCF_HepG2_CTCF_UT-A,0.999588,0.996689,0.948288,0.9431
CTCF_HepG2_CTCF_UW,HepG2,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwHepg2CtcfUniPk,std,CTCF_HepG2_CTCF_UW,0.995544,0.992602,0.972652,0.972428
CTCF_IMR90_CTCF_(SC_15914)_Stanford,IMR90,CTCF,Stanford,None,CTCF+AF8-(SC+AC0-15914),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk,IgG+AC0-rab,CTCF_IMR90_CTCF_(SC-15914)_Stanford,0.993292,0.992109,0.973076,0.97274
CTCF_K562_CTCF_(SC_15914)_Stanford,K562,CTCF,Stanford,None,CTCF+AF8-(SC+AC0-15914),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk,IgG+AC0-rab,CTCF_K562_CTCF_(SC-15914)_Stanford,0.992907,0.988477,0.919572,0.957344
CTCF_K562_CTCF_(SC_5916)_HudsonAlpha,K562,CTCF,HudsonAlpha,None,CTCF+AF8-(SC+AC0-5916),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk,NA,CTCF_K562_CTCF_(SC-5916)_HudsonAlpha,0.991541,0.983988,0.943444,0.947024
CTCF_K562_CTCF_Broad,K562,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadK562CtcfUniPk,std,CTCF_K562_CTCF_Broad,0.989386,0.980918,0.95044,0.967672
CTCF_K562_CTCF_UT_A,K562,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaK562CtcfUniPk,NA,CTCF_K562_CTCF_UT-A,0.996005,0.993375,0.943012,0.954244
CTCF_K562_CTCF_UW,K562,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwK562CtcfUniPk,std,CTCF_K562_CTCF_UW,0.996419,0.984453,0.957604,0.958856
CTCF_MCF_7_CTCF_UT_A,MCF+AC0-7,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaMcf7CtcfUniPk,NA,CTCF_MCF-7_CTCF_UT-A,0.993025,0.986407,0.969756,0.972604
CTCF_MCF_7_CTCF_UW,MCF+AC0-7,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwMcf7CtcfUniPk,std,CTCF_MCF-7_CTCF_UW,0.997583,0.990936,0.966436,0.977552
CTCF_NB4_CTCF_UW,NB4,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwNb4CtcfUniPk,std,CTCF_NB4_CTCF_UW,0.998608,0.995922,0.948532,0.978608
CTCF_NHDF_Ad_CTCF_Broad,NHDF+AC0-Ad,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhdfadCtcfUniPk,std,CTCF_NHDF-Ad_CTCF_Broad,0.996104,0.993745,0.891948,0.981632
CTCF_NHDF_neo_CTCF_UW,NHDF+AC0-neo,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwNhdfneoCtcfUniPk,std,CTCF_NHDF-neo_CTCF_UW,0.998276,0.996408,0.960632,0.963996
CTCF_NHEK_CTCF_Broad,NHEK,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhekCtcfUniPk,std,CTCF_NHEK_CTCF_Broad,0.994791,0.993484,0.969,0.976412
CTCF_NHEK_CTCF_UT_A,NHEK,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaNhekCtcfUniPk,NA,CTCF_NHEK_CTCF_UT-A,0.995337,0.993111,0.955824,0.960156
CTCF_NHEK_CTCF_UW,NHEK,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwNhekCtcfUniPk,std,CTCF_NHEK_CTCF_UW,0.996936,0.99369,0.953756,0.96474
CTCF_NHLF_CTCF_Broad,NHLF,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhlfCtcfUniPk,std,CTCF_NHLF_CTCF_Broad,0.995443,0.993872,0.909584,0.969488
CTCF_NHLF_CTCF_UW,NHLF,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwNhlfCtcfUniPk,std,CTCF_NHLF_CTCF_UW,0.99761,0.991624,0.939536,0.974376
CTCF_NH_A_CTCF_Broad,NH+AC0-A,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhaCtcfUniPk,std,CTCF_NH-A_CTCF_Broad,0.997789,0.994374,0.960588,0.973736
CTCF_Osteoblasts_CTCF_Broad,Osteoblasts,CTCF,Broad,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadOsteoblCtcfUniPk,std,CTCF_Osteoblasts_CTCF_Broad,0.9972,0.991848,0.967904,0.96818
CTCF_ProgFib_CTCF_UT_A,ProgFib,CTCF,UT+AC0-A,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUtaProgfibCtcfUniPk,NA,CTCF_ProgFib_CTCF_UT-A,0.996297,0.992917,0.976996,0.981344
CTCF_RPTEC_CTCF_UW,RPTEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwRptecCtcfUniPk,std,CTCF_RPTEC_CTCF_UW,0.996902,0.99536,0.961764,0.966788
CTCF_SAEC_CTCF_UW,SAEC,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwSaecCtcfUniPk,std,CTCF_SAEC_CTCF_UW,0.993474,0.986797,0.962852,0.966096
CTCF_SK_N_SH_(Retinoic_Acid)_CTCF_HudsonAlpha,SK+AC0-N+AC0-SH (Retinoic Acid),CTCF,HudsonAlpha,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibSknshraCtcfV0416102UniPk,NA,CTCF_SK-N-SH-(Retinoic-Acid)_CTCF_HudsonAlpha,0.997659,0.994801,0.917584,0.964608
CTCF_SK_N_SH_(Retinoic_Acid)_CTCF_UW,SK+AC0-N+AC0-SH (Retinoic Acid),CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwSknshraCtcfUniPk,std,CTCF_SK-N-SH-(Retinoic-Acid)_CTCF_UW,0.993569,0.99233,0.976452,0.976448
CTCF_WERI_Rb_1_CTCF_UW,WERI+AC0-Rb+AC0-1,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwWerirb1CtcfUniPk,std,CTCF_WERI-Rb-1_CTCF_UW,0.995566,0.990154,0.94518,0.974612
CTCF_WI_38_CTCF_UW,WI+AC0-38,CTCF,UW,None,CTCF,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUwWi38CtcfUniPk,std,CTCF_WI-38_CTCF_UW,0.997721,0.994996,0.912152,0.928468
E2F1_HeLa_S3_E2F1_USC,HeLa+AC0-S3,E2F1,USC,None,E2F1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3E2f1UniPk,std,E2F1_HeLa-S3_E2F1_USC,0.849883,0.76858,0.585068,0.623816
E2F1_HeLa_S3_HA_E2F1_USC,HeLa+AC0-S3,E2F1,USC,None,HA+AC0-E2F1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Hae2f1UniPk,std,E2F1_HeLa-S3_HA-E2F1_USC,0.849013,0.656329,0.629304,0.61672
E2F1_MCF_7_HA_E2F1_USC,MCF+AC0-7,E2F1,USC,None,HA+AC0-E2F1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhMcf7Hae2f1UcdUniPk,UCDavis,E2F1_MCF-7_HA-E2F1_USC,0.853366,0.731078,0.667896,0.649756
E2F4_GM12878_E2F4_Stanford,GM12878,E2F4,Stanford,None,E2F4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk,IgG+AC0-mus,E2F4_GM12878_E2F4_Stanford,0.913438,0.903038,0.886452,0.74214
E2F4_HeLa_S3_E2F4_USC,HeLa+AC0-S3,E2F4,USC,None,E2F4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3E2f4UniPk,std,E2F4_HeLa-S3_E2F4_USC,0.87848,0.859776,0.86826,0.789484
E2F4_K562_E2F4_USC,K562,E2F4,USC,None,E2F4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562E2f4UcdUniPk,UCDavis,E2F4_K562_E2F4_USC,0.874477,0.82318,0.86938,0.771568
E2F6_HeLa_S3_E2F6_USC,HeLa+AC0-S3,E2F6,USC,None,E2F6,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3E2f6UniPk,std,E2F6_HeLa-S3_E2F6_USC,0.839691,0.814498,0.81278,0.739184
E2F6_K562_E2F6_HudsonAlpha,K562,E2F6,HudsonAlpha,None,E2F6,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,NA,E2F6_K562_E2F6_HudsonAlpha,0.905716,0.886212,0.876428,0.77566
E2F6_K562_E2F6_USC,K562,E2F6,USC,None,E2F6,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562E2f6UcdUniPk,UCDavis,E2F6_K562_E2F6_USC,0.914012,0.755927,0.86846,0.750656
EBF1_GM12878_EBF1_(SC_137065)_HudsonAlpha,GM12878,EBF1,HudsonAlpha,None,EBF1+AF8-(SC+AC0-137065),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk,NA,EBF1_GM12878_EBF1_(SC-137065)_HudsonAlpha,0.977012,0.90079,0.852072,0.87572
EBF1_GM12878_EBF1_(SC_137065)_Stanford,GM12878,EBF1,Stanford,None,EBF1+AF8-(SC+AC0-137065),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Ebf1sc137065UniPk,std,EBF1_GM12878_EBF1_(SC-137065)_Stanford,0.977933,0.957094,0.862732,0.94492
EGR1_GM12878_Egr_1_HudsonAlpha,GM12878,EGR1,HudsonAlpha,None,Egr+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk,NA,EGR1_GM12878_Egr-1_HudsonAlpha,0.944333,0.93066,0.894752,0.905648
EGR1_H1_hESC_Egr_1_HudsonAlpha,H1+AC0-hESC,EGR1,HudsonAlpha,None,Egr+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescEgr1V0416102UniPk,NA,EGR1_H1-hESC_Egr-1_HudsonAlpha,0.91874,0.856732,0.839264,0.806632
EGR1_K562_Egr_1_HudsonAlpha,K562,EGR1,HudsonAlpha,None,Egr+AC0-1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk,NA,EGR1_K562_Egr-1_HudsonAlpha,0.982757,0.969902,0.918348,0.935132
ELF1_GM12878_ELF1_(SC_631)_HudsonAlpha,GM12878,ELF1,HudsonAlpha,None,ELF1+AF8-(SC+AC0-631),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk,NA,ELF1_GM12878_ELF1_(SC-631)_HudsonAlpha,0.980211,0.970318,0.960548,0.963092
ELF1_HepG2_ELF1_(SC_631)_HudsonAlpha,HepG2,ELF1,HudsonAlpha,None,ELF1+AF8-(SC+AC0-631),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Elf1sc631V0416101UniPk,NA,ELF1_HepG2_ELF1_(SC-631)_HudsonAlpha,0.98286,0.973195,0.965708,0.972764
ELF1_K562_ELF1_(SC_631)_HudsonAlpha,K562,ELF1,HudsonAlpha,None,ELF1+AF8-(SC+AC0-631),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk,NA,ELF1_K562_ELF1_(SC-631)_HudsonAlpha,0.987998,0.981891,0.975792,0.980372
ELK1_GM12878_ELK1_(1277_1)_Stanford,GM12878,ELK1,Stanford,None,ELK1+AF8-(1277+AC0-1),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878Elk112771IggmusUniPk,IgG+AC0-mus,ELK1_GM12878_ELK1_(1277-1)_Stanford,0.952849,0.947887,0.94134,0.9317
ELK1_HeLa_S3_ELK1_(1277_1)_Stanford,HeLa+AC0-S3,ELK1,Stanford,None,ELK1+AF8-(1277+AC0-1),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Elk112771IggrabUniPk,IgG+AC0-rab,ELK1_HeLa-S3_ELK1_(1277-1)_Stanford,0.961628,0.949067,0.940988,0.9462
ELK4_HeLa_S3_ELK4_USC,HeLa+AC0-S3,ELK4,USC,None,ELK4,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Elk4UcdUniPk,UCDavis,ELK4_HeLa-S3_ELK4_USC,0.935939,0.913046,0.910988,0.913628
EP300_GM12878_p300_HudsonAlpha,GM12878,EP300,HudsonAlpha,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878P300Pcr1xUniPk,NA,EP300_GM12878_p300_HudsonAlpha,0.844346,0.718553,0.760256,0.66806
EP300_GM12878_p300_Stanford,GM12878,EP300,Stanford,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhGm12878P300IggmusUniPk,IgG+AC0-mus,EP300_GM12878_p300_Stanford,0.898037,0.80648,0.726524,0.641088
EP300_H1_hESC_p300_HudsonAlpha,H1+AC0-hESC,EP300,HudsonAlpha,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescP300V0416102UniPk,NA,EP300_H1-hESC_p300_HudsonAlpha,0.808632,0.697608,0.67538,0.552144
EP300_HeLa_S3_p300_(SC_584)_Stanford,HeLa+AC0-S3,EP300,Stanford,None,p300+AF8-(SC+AC0-584),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3P300sc584sc584IggrabUniPk,IgG+AC0-rab,EP300_HeLa-S3_p300_(SC-584)_Stanford,0.919617,0.902313,0.875436,0.7916
EP300_HepG2_p300_HudsonAlpha,HepG2,EP300,HudsonAlpha,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2P300V0416101UniPk,NA,EP300_HepG2_p300_HudsonAlpha,0.925982,0.862366,0.849684,0.755844
EP300_K562_p300_Stanford,K562,EP300,Stanford,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562P300IggrabUniPk,IgG+AC0-rab,EP300_K562_p300_Stanford,0.95523,0.913251,0.881852,0.880244
EP300_SK_N_SH_(Retinoic_Acid)_p300_HudsonAlpha,SK+AC0-N+AC0-SH (Retinoic Acid),EP300,HudsonAlpha,None,p300,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibSknshraP300V0416102UniPk,NA,EP300_SK-N-SH-(Retinoic-Acid)_p300_HudsonAlpha,0.911889,0.793668,0.720944,0.697228
ETS1_GM12878_ETS1_HudsonAlpha,GM12878,ETS1,HudsonAlpha,None,ETS1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk,NA,ETS1_GM12878_ETS1_HudsonAlpha,0.913899,0.878536,0.878944,0.670496
ETS1_K562_ETS1_HudsonAlpha,K562,ETS1,HudsonAlpha,None,ETS1,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk,NA,ETS1_K562_ETS1_HudsonAlpha,0.831025,0.757148,0.792496,0.714784
EZH2_GM12878_EZH2_(39875)_Broad,GM12878,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk,std,EZH2_GM12878_EZH2_(39875)_Broad,0.696655,0.640933,0.56708,0.525452
EZH2_H1_hESC_EZH2_(39875)_Broad,H1+AC0-hESC,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadH1hescEzh239875UniPk,std,EZH2_H1-hESC_EZH2_(39875)_Broad,0.730569,0.670588,0.534708,0.531148
EZH2_HMEC_EZH2_(39875)_Broad,HMEC,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHmecEzh239875UniPk,std,EZH2_HMEC_EZH2_(39875)_Broad,0.705482,0.651815,0.56588,0.536556
EZH2_HSMMtube_EZH2_(39875)_Broad,HSMMtube,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHsmmtEzh239875UniPk,std,EZH2_HSMMtube_EZH2_(39875)_Broad,0.71909,0.650472,0.580712,0.532564
EZH2_HUVEC_EZH2_(39875)_Broad,HUVEC,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadHuvecEzh239875UniPk,std,EZH2_HUVEC_EZH2_(39875)_Broad,0.746964,0.662823,0.56432,0.5579
EZH2_NHDF_Ad_EZH2_(39875)_Broad,NHDF+AC0-Ad,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk,std,EZH2_NHDF-Ad_EZH2_(39875)_Broad,0.770557,0.624055,0.548872,0.516404
EZH2_NHEK_EZH2_(39875)_Broad,NHEK,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhekEzh239875UniPk,std,EZH2_NHEK_EZH2_(39875)_Broad,0.75244,0.609107,0.57536,0.55542
EZH2_NHLF_EZH2_(39875)_Broad,NHLF,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhlfEzh239875UniPk,std,EZH2_NHLF_EZH2_(39875)_Broad,0.725287,0.61416,0.58436,0.548924
EZH2_NH_A_EZH2_(39875)_Broad,NH+AC0-A,EZH2,Broad,None,EZH2+AF8-(39875),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsBroadNhaEzh239875UniPk,std,EZH2_NH-A_EZH2_(39875)_Broad,0.749256,0.658045,0.532876,0.525968
FAM48A_HeLa_S3_SPT20_Stanford,HeLa+AC0-S3,FAM48A,Stanford,None,SPT20,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3Spt20UniPk,std,FAM48A_HeLa-S3_SPT20_Stanford,0.635376,0.573501,0.554092,0.538772
FOSL1_H1_hESC_FOSL1_(SC_183)_HudsonAlpha,H1+AC0-hESC,FOSL1,HudsonAlpha,None,FOSL1+AF8-(SC+AC0-183),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk,NA,FOSL1_H1-hESC_FOSL1_(SC-183)_HudsonAlpha,0.760499,0.757011,0.959652,0.82356
FOSL1_K562_FOSL1_(SC_183)_HudsonAlpha,K562,FOSL1,HudsonAlpha,None,FOSL1+AF8-(SC+AC0-183),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk,NA,FOSL1_K562_FOSL1_(SC-183)_HudsonAlpha,0.989959,0.986303,0.967752,0.950272
FOSL2_HepG2_FOSL2_HudsonAlpha,HepG2,FOSL2,HudsonAlpha,None,FOSL2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Fosl2V0416101UniPk,NA,FOSL2_HepG2_FOSL2_HudsonAlpha,0.988882,0.980727,0.9639,0.954276
FOS_HUVEC_c_Fos_USC,HUVEC,FOS,USC,None,c+AC0-Fos,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHuvecCfosUcdUniPk,UCDavis,FOS_HUVEC_c-Fos_USC,0.983794,0.957117,0.99246,0.9837
FOS_HeLa_S3_c_Fos_Yale,HeLa+AC0-S3,FOS,Yale,None,c+AC0-Fos,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhHelas3CfosUniPk,std,FOS_HeLa-S3_c-Fos_Yale,0.977475,0.966473,0.71242,0.676168
FOS_K562_c_Fos_Yale,K562,FOS,Yale,None,c+AC0-Fos,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsSydhK562CfosUniPk,std,FOS_K562_c-Fos_Yale,0.983279,0.970047,0.956516,0.952084
FOS_K562_eGFP_FOS_UChicago,K562,FOS,UChicago,None,eGFP+AC0-FOS,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsUchicagoK562EfosUniPk,Control+AF8-eGFP+AC0-FOS,FOS_K562_eGFP-FOS_UChicago,0.99553,0.990197,0.95662,0.970624
FOXA1_HepG2_FOXA1_(SC_101058)_HudsonAlpha,HepG2,FOXA1,HudsonAlpha,None,FOXA1+AF8-(SC+AC0-101058),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk,NA,FOXA1_HepG2_FOXA1_(SC-101058)_HudsonAlpha,0.981758,0.976672,0.946996,0.967364
FOXA1_HepG2_FOXA1_(SC_6553)_HudsonAlpha,HepG2,FOXA1,HudsonAlpha,None,FOXA1+AF8-(SC+AC0-6553),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Foxa1sc6553V0416101UniPk,NA,FOXA1_HepG2_FOXA1_(SC-6553)_HudsonAlpha,0.985748,0.967654,0.952996,0.970352
FOXA2_HepG2_FOXA2_(SC_6554)_HudsonAlpha,HepG2,FOXA2,HudsonAlpha,None,FOXA2+AF8-(SC+AC0-6554),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk,NA,FOXA2_HepG2_FOXA2_(SC-6554)_HudsonAlpha,0.984466,0.966262,0.952208,0.957724
FOXM1_GM12878_FOXM1_(SC_502)_HudsonAlpha,GM12878,FOXM1,HudsonAlpha,None,FOXM1+AF8-(SC+AC0-502),ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk,NA,FOXM1_GM12878_FOXM1_(SC-502)_HudsonAlpha,0.916343,0.776459,0.774332,0.657236
FOXP2_PFSK_1_FOXP2_HudsonAlpha,PFSK+AC0-1,FOXP2,HudsonAlpha,None,FOXP2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibPfsk1Foxp2Pcr2xUniPk,NA,FOXP2_PFSK-1_FOXP2_HudsonAlpha,0.895917,0.785141,0.794872,0.658568
FOXP2_SK_N_MC_FOXP2_HudsonAlpha,SK+AC0-N+AC0-MC,FOXP2,HudsonAlpha,None,FOXP2,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk,NA,FOXP2_SK-N-MC_FOXP2_HudsonAlpha,0.899359,0.834875,0.799856,0.779456
GABPA_GM12878_GABP_HudsonAlpha,GM12878,GABPA,HudsonAlpha,None,GABP,ENCODE Mar 2012 Freeze,good,wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk,NA,GABPA_GM12878_GABP_HudsonAlpha,0.979701,0.970059,0.964812,0.961028
