,CNN-based model adadelta,CNN-based model adam,CNN-based model rmsprop,vConv-based model adadelta,vConv-based model adam,vConv-based model rmsprop
48,0.6486516516850187,0.5052556139512662,0.6714407937865976,0.7547417193524374,0.6885632062578473,0.6439515994622163
49,0.6074845276058622,0.5224502494472161,0.5592506583406482,0.705885620951344,0.6944521605795619,0.616873520816898
50,0.6771630795897733,0.6284625384726497,0.6546739408215646,0.7819309103434483,0.6587073189702108,0.6633073700818898
51,0.5869954110601229,0.6369959666218514,0.6215069056322848,0.7111301236680407,0.6077623084700942,0.6579073100812232
52,0.6765741841576018,0.7089078767541861,0.6189735441504906,0.7247747197191078,0.7354081712019022,0.7146746074956389
53,0.62005133390371,0.5400615562395138,0.6015844620495783,0.7708752319470218,0.7246413849042767,0.6632407026744741
54,0.6737185968732984,0.6580739785997621,0.6031067011855686,0.7753641707130079,0.6451849464994056,0.6776964188490983
55,0.641129345881621,0.6261180679785331,0.6477071967466306,0.6833964821831354,0.6855520616895743,0.7352637251525017
56,0.5956955077278636,0.6759297325525839,0.6449849442771586,0.7597639973777487,0.7174190824342492,0.7080634229269215
57,0.690296558850654,0.5988510983455372,0.6230847009411216,0.7460082889809887,0.6712407915643507,0.6662740697118856
58,0.6906076734185935,0.6269514105712285,0.4677774197491083,0.720785786508739,0.7115079056433959,0.7019522439138213
59,0.6621406904521161,0.6373070811897911,0.6462627362526251,0.7273969710774566,0.694085489838776,0.6790186557628418
60,0.703452260580673,0.5936399293325482,0.6337737085967622,0.7263080700896677,0.7020744674940833,0.6434404826720297
61,0.6740741563795153,0.621718019089101,0.6550628340314892,0.7337859309547884,0.6749186102067801,0.68500761119568
62,0.6370737452638363,0.5911621240236002,0.5956177290858787,0.6979299769997444,0.7051189457660642,0.7201302236691519
63,0.7085634284825387,0.6569184102045578,0.6039178213091256,0.7100412226802519,0.6555850620562451,0.7089634329270325
64,0.7056300625562507,0.585006500072223,0.6134401493349927,0.5927065856287292,0.6239624884720942,0.6453738374870832
65,0.5818064645162724,0.6123401371126346,0.5117390193224369,0.6555739508216758,0.6533183702041134,0.6509405660062889
66,0.6997633307036745,0.6359515105723397,0.5603506705630062,0.7033967044078266,0.6282180913121257,0.5726396959966222
67,0.7163524039155991,0.6190402115579062,0.48317759086212075,0.7350081667574084,0.6882520916899076,0.6435182613140146
68,0.7059189546550517,0.6238624873609706,0.4557161746241625,0.7512750141668241,0.7226635851509462,0.5967732974810832
69,0.6442182690918788,0.622084689829887,0.6488183202035578,0.6786519850220558,0.6677185302058911,0.7055189502105579
